state,job_complexity_index,task_complexity_index,job_price_index,annual_mean_wage,employment
AK,1.1099629183171356,1.0393821149400477,0.9525529804228411,71755.81601525263,13171.9
AL,1.0781235523720443,1.0234926692513207,0.9395802329399764,70778.57894736843,12299.3
AR,1.25209316265153,1.0257403571746997,1.0753989555223957,81009.80331950207,13855.9
AZ,1.0677809807955387,1.0272335569436695,0.9287585696015499,69963.38304808475,13891.1
CA,1.1717900878889416,1.0183074354213975,1.0171833614635286,76624.42261904762,10390.0
CT,1.239721364833008,1.0277585903987938,1.0653981654274909,80256.44380165289,13773.5
DC,1.1047399691897393,1.0488529322251647,0.9411016579243396,70893.1878914405,10991.4
DE,1.0817106038900843,1.035425424282566,0.930073587672574,70062.443359375,12815.2
FL,1.0978284238571254,1.0196284537340583,0.9611386608486123,72402.57532172596,12410.6
GA,1.193557910518197,1.0214236999890782,1.0343173079386372,77915.12280701754,14226.3
GU,1.1617605363938797,1.0256806868574675,1.0060936266392784,75789.03289473684,4295.3
HI,1.1274004048460935,1.0312879949656182,0.9721816107890713,73234.44074074074,14184.1
IA,1.146066438310834,1.0235811593393982,0.9962841839853688,75050.08757961783,13341.0
ID,1.1350258361381815,1.025870677487346,0.9839865403421746,74123.70608397601,15043.5
IL,1.1538138469710855,1.0219051839673807,1.0023590394784825,75507.70644391408,13258.2
IN,1.168295544587167,1.0217509410409273,1.0110706180373101,76163.94965675057,12246.8
KS,1.1086349868239764,1.0242481697194479,0.9680466508822072,72922.95421095667,13961.3
KY,1.1133673030802431,1.0237861374949988,0.9681024313211146,72927.15615141956,13364.9
LA,1.1239166062888621,1.0215707274705785,0.9816212655684997,73945.52993527509,13393.6
MA,1.1265866575278054,1.0273247409510224,0.9669077062540332,72837.15751211632,13492.2
MD,1.1831610404068347,1.0175595390298813,1.0299021233363226,77582.52695092518,15240.9
ME,1.2149767886427791,1.028270740973126,1.0429664155825953,78566.6600858369,15207.3
MI,1.1702882401089851,1.021187209696956,1.015875481215983,76525.9,12458.5
MN,1.1855915079700723,1.0262629885496906,1.0200715269283875,76841.98812351545,13802.3
MO,1.201041847163714,1.0215786332196894,1.038481431377684,78228.80622568094,14326.7
MS,1.2023651346764808,1.025208938697421,1.038841149797717,78255.90381426203,12271.1
MT,1.1448347969139852,1.0334645117920631,0.9863911672800434,74304.84663120567,12759.2
NC,1.1205419211898997,1.0215495323275454,0.9727531585529,73277.49543378995,12144.0
ND,1.1716468198643286,1.034753193881048,1.0055005128947783,75744.35363636364,12810.8
NE,1.157166662654292,1.02862936891059,0.9958262786361608,75015.593569662,12362.5
NH,1.2229284297989007,1.030774329669353,1.0488019900842092,79006.25391304347,15287.3
NJ,1.090947541122768,1.023773497017322,0.9478352510579845,71400.42946219798,15952.7
NM,1.1883919522115955,1.0331502985532919,1.0176876494947948,76662.41063644289,12106.2
NV,1.0820937895292209,1.0226387612776375,0.9423548437730811,70987.5903814262,17275.6
NY,1.143115996270395,1.0233912938582064,0.9942922333287081,74900.03393665158,11881.6
OH,1.0964874186849582,1.0194240013367761,0.9576201684150077,72137.52728670253,12357.5
OK,1.1492995329627123,1.0237335323118761,0.997833474553644,75166.79563812602,12484.9
OR,1.1611547678465581,1.0244629931894387,1.0077870537081115,75916.59875583203,14141.9
PA,1.1879436588806136,1.0183755415758904,1.0316752834967773,77716.09910581222,13230.5
PR,1.1447565861640332,1.0338033801090918,0.991120648747501,74661.11847014926,11796.7
RI,1.1014770068439133,1.0379941412430937,0.9444740857123634,71147.23287671233,14063.1
SC,1.1899240898968468,1.0246058429815548,1.0296485000274043,77563.42150706437,12475.6
SD,1.2257122845489081,1.0332701455668727,1.0444024071861586,78674.83333333333,11360.8
TN,1.1159615917813608,1.0235236993227026,0.9680503451996286,72923.23250388802,13428.6
TX,1.1882493128550753,1.0182729553019019,1.0301506851773938,77601.25111441307,11926.3
UT,1.1604642814810235,1.022131902180249,1.002510400278117,75519.10845295056,13625.0
VA,1.1585856969596362,1.0244249622086923,1.0029356707070352,75551.14407436096,14113.9
VI,1.2754347175290863,0.9903345514206837,1.1400152523341742,85877.34895833333,4590.6
VT,1.1969867140122845,1.0329291295490324,1.0227869771758158,77046.54299065421,13998.4
WA,1.1206754889300716,1.0236518971373876,0.9767214860673643,73576.42954545455,12813.8
WI,1.1011002499465528,1.023439292810578,0.9634120367056737,72573.8287250384,12233.2
WV,1.2033296614587818,1.026807902605368,1.0375215157858542,78156.4957841484,13080.4
WY,1.1144296813956658,1.0390688756013127,0.9562199451329416,72032.0484668645,11395.3
